ROI,count,rank
2724,33.0,307.3636363636364
3401,30.0,309.8
3069,33.0,310.3333333333333
967,32.0,312.78125
3451,31.0,312.96774193548384
4609,29.0,315.0
2398,31.0,315.9032258064516
1426,31.0,318.83870967741933
4693,29.0,321.13793103448273
3245,30.0,328.8
2819,31.0,330.0
1796,30.0,331.1
1470,30.0,331.4
4432,32.0,333.1875
4919,31.0,333.6774193548387
6084,31.0,333.83870967741933
4859,29.0,338.0689655172414
67,29.0,341.0344827586207
5103,30.0,342.0
2583,31.0,342.64516129032256
5891,30.0,345.06666666666666
1270,30.0,346.06666666666666
643,27.0,347.0
2489,28.0,351.57142857142856
4559,28.0,362.5357142857143
3971,29.0,362.6551724137931
1430,28.0,363.9642857142857
972,28.0,366.7142857142857
311,28.0,372.57142857142856
2723,26.0,372.8076923076923
1588,27.0,375.1111111111111
2757,27.0,376.22222222222223
5894,28.0,376.39285714285717
2642,26.0,376.5769230769231
4912,26.0,384.84615384615387
626,27.0,386.9259259259259
6052,27.0,387.77777777777777
1480,26.0,390.0769230769231
4528,26.0,392.0769230769231
1427,26.0,394.6923076923077
4043,25.0,397.08
1778,26.0,398.0
5564,26.0,399.11538461538464
2236,25.0,402.36
4942,25.0,407.08
2555,25.0,414.12
1198,25.0,420.88
3021,24.0,426.5
94,24.0,427.375
5898,24.0,429.3333333333333
4740,23.0,436.17391304347825
4768,24.0,438.6666666666667
4754,23.0,446.0869565217391
4627,24.0,448.5833333333333
6623,24.0,449.25
1425,23.0,452.1304347826087
4838,23.0,452.2173913043478
3820,23.0,457.17391304347825
362,23.0,457.2173913043478
4734,22.0,457.8181818181818
5321,23.0,462.0
2792,23.0,465.8695652173913
2222,21.0,477.42857142857144
1816,22.0,478.6818181818182
918,21.0,479.14285714285717
5930,22.0,482.59090909090907
3349,21.0,482.76190476190476
4996,22.0,482.90909090909093
4956,22.0,483.95454545454544
969,22.0,484.45454545454544
4691,22.0,486.72727272727275
2415,22.0,489.45454545454544
2817,22.0,493.90909090909093
1911,21.0,501.7142857142857
3027,20.0,502.6
5542,21.0,503.0952380952381
4994,21.0,510.7142857142857
4899,21.0,515.5238095238095
1438,21.0,517.2380952380952
314,21.0,519.8571428571429
3154,21.0,522.6190476190476
2810,20.0,523.0
2836,21.0,527.0952380952381
1925,19.0,538.4736842105264
5467,20.0,539.25
1813,19.0,541.6842105263158
345,20.0,543.65
2640,20.0,545.15
2747,19.0,555.2631578947369
3266,19.0,557.2105263157895
1877,19.0,558.3684210526316
5164,19.0,560.6315789473684
310,19.0,561.4736842105264
4993,18.0,570.3888888888889
3557,19.0,573.8421052631579
3038,19.0,574.3157894736842
2544,18.0,574.7222222222222
6005,19.0,579.0526315789474
1060,18.0,583.0
3970,19.0,583.421052631579
4672,18.0,589.2222222222222
2545,18.0,589.8333333333334
5319,18.0,590.1666666666666
5294,18.0,595.8333333333334
4972,18.0,600.0
2340,18.0,602.2777777777778
2586,17.0,617.0
3457,18.0,619.0
4224,18.0,622.3888888888889
2234,17.0,625.1176470588235
5854,17.0,628.8235294117648
3259,17.0,632.5294117647059
6304,17.0,635.3529411764706
6174,17.0,636.6470588235294
2066,17.0,642.8823529411765
4782,17.0,644.0
2822,17.0,646.7647058823529
5596,17.0,649.1764705882352
5563,17.0,650.3529411764706
3097,16.0,650.5625
1326,17.0,650.9411764705883
5548,16.0,657.5625
2543,16.0,658.0625
1392,16.0,659.5
1573,16.0,668.9375
5887,16.0,669.625
247,16.0,671.375
1171,16.0,672.4375
3481,16.0,673.625
1189,16.0,674.5
6286,16.0,674.875
2399,16.0,675.875
3661,16.0,677.5625
3376,16.0,677.9375
2727,16.0,680.125
3452,16.0,691.625
4911,15.0,701.0
2176,16.0,708.375
5594,15.0,708.9333333333333
1394,15.0,710.2666666666667
2811,15.0,717.6666666666666
4199,15.0,718.2666666666667
6051,15.0,721.2666666666667
1759,15.0,724.0666666666667
2235,15.0,727.0
4297,15.0,727.3333333333334
4498,15.0,730.8
402,15.0,733.4666666666667
2502,15.0,734.9333333333333
2771,15.0,738.6666666666666
1590,15.0,738.8
4147,15.0,740.0
4217,15.0,744.0
2834,14.0,753.4285714285714
6472,14.0,753.5
4799,14.0,762.7857142857143
424,14.0,767.9285714285714
6509,14.0,775.2142857142857
1618,14.0,776.5
4755,14.0,780.9285714285714
2580,14.0,784.6428571428571
6049,14.0,786.0714285714286
4861,14.0,788.0
2140,14.0,788.7142857142857
6220,14.0,789.5714285714286
1432,14.0,791.2142857142857
6001,14.0,797.5
3561,14.0,800.1428571428571
6296,14.0,800.1428571428571
6113,14.0,801.4285714285714
4299,14.0,803.7142857142857
3814,14.0,805.7857142857143
4154,14.0,806.0
3841,13.0,816.1538461538462
4706,14.0,816.3571428571429
1795,13.0,836.8461538461538
1056,13.0,837.3846153846154
923,13.0,838.3076923076923
3017,13.0,839.5384615384615
116,13.0,841.3846153846154
1793,13.0,841.4615384615385
5635,13.0,846.2307692307693
6510,13.0,849.9230769230769
5247,13.0,850.2307692307693
1400,13.0,851.5384615384615
1226,13.0,851.6153846153846
6649,13.0,856.0769230769231
3450,13.0,856.2307692307693
2342,13.0,857.6153846153846
5549,13.0,858.9230769230769
